weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
Friday,4,63,-354,-5.619047619047619,2.2576431618944612,1.502545560671776,0.1893029470038872
Friday,5,863,-3486,-4.039397450753187,0.12404255783289116,0.35219676011129225,0.01198891714130992
Friday,6,1498,-3391,-2.2636849132176233,0.04903691053302798,0.22144279291281524,0.00572144389547056
Friday,7,1338,-1261,-0.9424514200298953,0.03927884713224424,0.19818891778362444,0.005418153559213133
Friday,8,1358,940,0.6921944035346097,0.02321536751592828,0.1523659001086801,0.004134641854685321
Friday,9,1190,3389,2.8478991596638656,0.010055161183743267,0.10027542661960241,0.0029068393970868994
Friday,10,1300,6806,5.235384615384615,8.834162055379369e-4,0.029722318306921094,8.243487898558925e-4
Friday,11,1254,7760,6.188197767145136,1.1262369198140542e-5,0.00335594535088707,9.476895937172231e-5
Friday,12,1307,7803,5.970160673297628,8.682965698297549e-5,0.009318243234804267,2.5774856074953873e-4
Friday,13,1211,9207,7.60280759702725,0.0013864729473363096,0.03723537225994,0.0010699996323946944
Friday,14,1220,13289,10.892622950819671,0.017235728650971695,0.13128491402659978,0.0037586761546085216
Friday,15,1309,12639,9.655462184873949,0.00856527443793737,0.09254876788989343,0.002558001636880576
Friday,16,1238,13005,10.504846526655896,0.014233922513887547,0.11930600367914243,0.003390798452712941
Friday,17,1428,14170,9.92296918767507,0.009156133087420418,0.09568768513983614,0.002532164667701537
Friday,18,1173,18733,15.970161977834612,0.07960440255369754,0.28214252170436405,0.00823795731938392
Friday,19,1171,16250,13.877028181041844,0.048936593255511536,0.22121616861231355,0.006464551783812613
Friday,20,1032,16149,15.648255813953488,0.08455266420481988,0.29077940815129927,0.009051567608290905
Friday,21,755,19597,25.956291390728477,0.5113816651056486,0.7151095476258506,0.026025501123882386
Friday,22,641,14294,22.29953198127925,0.3990013453846704,0.6316655328452475,0.024949288516508544
Friday,23,287,11121,38.749128919860624,3.667209966949712,1.9149960749175734,0.11303864417304303
Monday,4,48,-241,-5.020833333333333,2.6733472895951196,1.6350373970020133,0.23599732032355436
Monday,5,849,-3386,-3.988221436984688,0.12484377826111434,0.35333239061981614,0.012126336253453432
Monday,6,1457,-3565,-2.4468085106382977,0.05259425495579357,0.22933437369001963,0.006008130784375822
Monday,7,1268,-1145,-0.9029968454258676,0.04099732104159533,0.20247795198884083,0.005686147387715413
Monday,8,1405,2566,1.8263345195729537,0.014289469080183635,0.11953856733365861,0.0031891128274906203
Monday,9,1164,3773,3.241408934707904,0.00807395345763409,0.0898551804718798,0.0026337019823791854
Monday,10,1338,8953,6.691330343796712,1.1037412038011373e-4,0.01050590883170579,2.872139772791004e-4
Monday,11,1339,6486,4.843913368185213,0.0015987556472762546,0.03998444256553109,0.0010926995324959392
Monday,12,1375,9826,7.146181818181818,5.121180194717061e-4,0.022630024734226567,6.102863825342127e-4
Monday,13,1191,10504,8.819479429051217,0.005300051823993751,0.07280145482058549,0.0021095225750243003
Monday,14,1218,14104,11.579638752052546,0.022824563420005172,0.15107800442157412,0.004328900418600386
Monday,15,1352,11700,8.653846153846153,0.004073600823151607,0.06382476653425069,0.0017358048163083417
Monday,16,1279,11067,8.65285379202502,0.004302464059530809,0.06559317082997901,0.0018341014463078538
Monday,17,1414,13170,9.314002828854314,0.0063945100623729895,0.07996568052841788,0.0021265663271973394
Monday,18,1222,15276,12.500818330605565,0.031393546858490246,0.17718224193888688,0.005068559974147536
Monday,19,1232,17435,14.151785714285714,0.04995135230416962,0.2234979917229003,0.0063674899935782766
Monday,20,995,11543,11.601005025125628,0.028166921021442744,0.16783003611226074,0.005320569832088797
Monday,21,726,11044,15.212121212121213,0.10922934747005862,0.33049863459636053,0.012265954779509557
Monday,22,586,9378,16.003412969283275,0.1604431514106178,0.4005535562326439,0.016546714892638224
Monday,23,184,5111,27.777173913043477,2.50525399082933,1.5827994158544947,0.1166855210372076
Saturday,4,39,19,0.48717948717948717,0.8684808615490701,0.9319232058217405,0.14922714243635354
Saturday,5,612,-2155,-3.5212418300653594,0.15783510661359937,0.39728466697520476,0.016059280837030447
Saturday,6,1330,-2581,-1.9406015037593984,0.05114553239099879,0.22615378040395165,0.006201232741320806
Saturday,7,1160,-1819,-1.568103448275862,0.053463666806009884,0.23122211573724924,0.006788915077994083
Saturday,8,1329,787,0.5921745673438675,0.024574615903847675,0.156762928984654,0.0043001230059092595
Saturday,9,1076,4161,3.867100371747212,0.005532802821265133,0.07438281267379672,0.0022676000654740366
Saturday,10,1171,3909,3.3381725021349276,0.00752703893678027,0.08675850930473777,0.0025353249701642595
Saturday,11,1129,4852,4.297608503100089,0.003576445591316502,0.05980339113559115,0.0017798313012375433
Saturday,12,1140,7924,6.950877192982456,3.6362180007349347e-4,0.01906886992124844,5.647711848992813e-4
Saturday,13,1064,9098,8.550751879699249,0.004731439647178412,0.06878546101596188,0.0021087536066747865
Saturday,14,1054,9791,9.289373814041745,0.00843864009110356,0.0918620710146661,0.0028295405804976
Saturday,15,1108,8698,7.850180505415162,0.0021491774925867933,0.04635922230351576,0.0013927278548897895
Saturday,16,1048,9180,8.759541984732824,0.005739289683351535,0.0757580997870956,0.002340175517686592
Saturday,17,1134,10719,9.452380952380953,0.008724146404446846,0.09340313915734763,0.002773670996634636
Saturday,18,937,11000,11.739594450373533,0.03149697879190706,0.17747388199931577,0.005797819005524287
Saturday,19,874,10114,11.5720823798627,0.03171703876153632,0.17809278132910475,0.0060240781895485405
Saturday,20,813,8810,10.83640836408364,0.025233942820153742,0.15885195252232107,0.005571181207732307
Saturday,21,596,8970,15.050335570469798,0.1282638450803631,0.3581394212878039,0.014669962295759268
Saturday,22,403,6530,16.203473945409428,0.2430259146064182,0.4929765862659384,0.024556912911196407
Saturday,23,171,4556,26.64327485380117,2.4184943137873303,1.5551508974332138,0.11892536147136781
Sunday,4,38,-33,-0.868421052631579,1.354926663725319,1.1640131716287918,0.18882787091654882
Sunday,5,624,-2694,-4.3173076923076925,0.180892183151112,0.4253142169633082,0.017026195087347703
Sunday,6,1296,-3308,-2.552469135802469,0.06056394092363349,0.24609742161110404,0.006836039489197334
Sunday,7,1313,-1862,-1.4181264280274182,0.045451763969552146,0.2131941930952908,0.005883598225609059
Sunday,8,1395,939,0.6731182795698925,0.02275344221628917,0.15084244169426975,0.0040386521595895215
Sunday,9,1269,3872,3.0512214342001576,0.0083533032189991,0.09139640703550167,0.002565655325450841
Sunday,10,1340,4842,3.6134328358208956,0.0054145589610581635,0.07358368678625829,0.0020101531390868507
Sunday,11,1415,7144,5.048763250883392,0.0011189084455519404,0.033450088872108256,8.892401352041577e-4
Sunday,12,1444,7946,5.502770083102493,4.479549515418884e-4,0.02116494629196796,5.569722708412622e-4
Sunday,13,1273,8184,6.428908091123331,1.166717111173541e-5,0.0034157240977185804,9.573452390106487e-5
Sunday,14,1370,13189,9.627007299270073,0.008045398443728832,0.08969614508845311,0.0024233352241407277
Sunday,15,1319,12328,9.34647460197119,0.007003923124253441,0.08368944452111891,0.002304349173444969
Sunday,16,1429,13521,9.46186144156753,0.0069649479924521265,0.08345626394976069,0.002207714065339576
Sunday,17,1424,15599,10.95435393258427,0.015166815298485584,0.1231536247882521,0.0032635645297661485
Sunday,18,1309,18270,13.957219251336898,0.04470991026178226,0.2114471807846637,0.005844294277417588
Sunday,19,1226,17944,14.63621533442088,0.056586618568754764,0.23787942022956665,0.006793782456952369
Sunday,20,1079,15783,14.6274328081557,0.06416030496884925,0.2532988451786728,0.007711209236291403
Sunday,21,780,13601,17.43717948717949,0.15882057510937275,0.39852299194572544,0.014269412108951555
Sunday,22,623,12025,19.301765650080256,0.2710480667786134,0.5206227682099712,0.020858310767067387
Sunday,23,241,6644,27.568464730290458,1.875718941133448,1.3695688887870694,0.08822168750246133
Thursday,4,52,-327,-6.288461538461538,3.0508963401226223,1.7466815222365588,0.2422211457819003
Thursday,5,894,-3482,-3.894854586129754,0.11641903042495906,0.34120233062650535,0.011411513007077215
Thursday,6,1468,-4238,-2.8869209809264307,0.057580982642287344,0.23996037723400784,0.006262914865888084
Thursday,7,1376,-1762,-1.2805232558139534,0.04183945236270192,0.20454694415390792,0.005514216059601184
Thursday,8,1358,376,0.2768777614138439,0.026776754795241615,0.16363604369221843,0.004440471488058492
Thursday,9,1239,3353,2.7062146892655368,0.010464833590814017,0.10229776923674347,0.0029062335374751723
Thursday,10,1350,5561,4.119259259259259,0.003545463705980554,0.05954379653650373,0.0016205768762503822
Thursday,11,1297,5911,4.557440246723208,0.002360132957538718,0.048581199630502316,0.001348957436757184
Thursday,12,1342,7854,5.852459016393443,1.539806935177061e-4,0.012408895741269894,3.38732508050546e-4
Thursday,13,1235,8609,6.970850202429149,3.567988534993581e-4,0.01888911997683741,5.374997248841086e-4
Thursday,14,1248,11603,9.29727564102564,0.0071646802062875214,0.08464443399472597,0.0023960237170099078
Thursday,15,1341,12238,9.126025354213274,0.005925942927149281,0.0769801463180558,0.00210215310366592
Thursday,16,1237,12485,10.092966855295069,0.011587111542315336,0.10764344635097547,0.0030605730097799464
Thursday,17,1396,9453,6.771489971346705,1.54524064821366e-4,0.012430770886045885,3.327019549781015e-4
Thursday,18,1114,13005,11.674147217235188,0.025858043892976783,0.16080436527960545,0.0048178717908778385
Thursday,19,1184,13136,11.094594594594595,0.019358697417569685,0.1391355361421721,0.004043544385470709
Thursday,20,1011,11902,11.772502472799209,0.02954629222767054,0.17189034943146325,0.0054059984476774806
Thursday,21,760,12235,16.098684210526315,0.12615307195493786,0.3551803372301708,0.012883744958327684
Thursday,22,580,9349,16.118965517241378,0.16598951857849198,0.4074181127275664,0.01691711633628294
Thursday,23,221,6641,30.04977375565611,2.5507579147473014,1.5971092369488387,0.10743319327356939
Tuesday,4,57,-348,-6.105263157894737,2.7028986154702745,1.6440494565159147,0.21775967017705286
Tuesday,5,875,-3875,-4.428571428571429,0.13171806938155278,0.3629298408529571,0.012269267966592804
Tuesday,6,1466,-3808,-2.597544338335607,0.0540870309493156,0.2325661861692615,0.006074067108139757
Tuesday,7,1338,-1444,-1.0792227204783258,0.04077492380735512,0.20192801640028835,0.005520374262089387
Tuesday,8,1360,7,0.005147058823529412,0.029201345563475974,0.17088401201831602,0.004633743370127755
Tuesday,9,1203,1255,1.0432252701579385,0.02303219027355316,0.15176359996241906,0.004375571714080912
Tuesday,10,1284,4325,3.3683800623052957,0.006725631404036457,0.0820099469822805,0.0022886744391682084
Tuesday,11,1200,3805,3.1708333333333334,0.008196483313250303,0.09053443164481845,0.002613503924053285
Tuesday,12,1337,7346,5.494390426327599,4.939387790416372e-4,0.0222247334976516,6.078142227895857e-4
Tuesday,13,1234,7475,6.0575364667747165,5.044654468260847e-5,0.007102573102940122,2.0218928316252747e-4
Tuesday,14,1173,9647,8.224211423699915,0.0031334644285952807,0.05597735639162751,0.001634418910061926
Tuesday,15,1344,6808,5.065476190476191,0.0011469314223579528,0.033866375985008385,9.237811396734261e-4
Tuesday,16,1216,9600,7.894736842105263,0.002073016019103013,0.04553038566828765,0.0013056733551874897
Tuesday,17,1360,11395,8.378676470588236,0.00315565130734277,0.05617518408819654,0.0015232635502874707
Tuesday,18,1192,9977,8.36996644295302,0.0035701959619502126,0.059751116825965796,0.0017306446315064972
Tuesday,19,1189,8145,6.850294365012616,2.482148295028134e-4,0.01575483511506272,4.5690186948304476e-4
Tuesday,20,1011,10092,9.98219584569733,0.013359826785981547,0.1155847169221846,0.0036351709233432778
Tuesday,21,672,6716,9.994047619047619,0.020229225624681765,0.14222948226258073,0.005486621394122535
Tuesday,22,506,5500,10.869565217391305,0.04113963285451385,0.20282907300116976,0.009016852124889386
Tuesday,23,194,4271,22.015463917525775,1.2719311519623193,1.127799251623408,0.08097126739860051
Wednesday,4,54,-351,-6.5,3.037411544709041,1.7428171288775656,0.2371673711518014
Wednesday,5,872,-3730,-4.277522935779817,0.1284781319914167,0.35843846332587787,0.012138258002267307
Wednesday,6,1352,-4033,-2.9829881656804735,0.06383475365610608,0.25265540496119626,0.006871321159672891
Wednesday,7,1306,-2955,-2.262633996937213,0.05623221964649576,0.23713333727355956,0.00656177032092993
Wednesday,8,1403,546,0.3891660727013542,0.024961659762897742,0.1579925940128136,0.004218012807908711
Wednesday,9,1162,1291,1.1110154905335627,0.023234638861788198,0.152429127340506,0.004471620096096139
Wednesday,10,1259,2452,1.9475774424146148,0.015095231708544394,0.1228626538397425,0.003462637489898856
Wednesday,11,1285,3827,2.9782101167315176,0.008623420511564717,0.09286237403579943,0.0025905275684558427
Wednesday,12,1273,5806,4.560879811468971,0.002395183477407857,0.048940611739207524,0.0013716875339578197
Wednesday,13,1279,8857,6.924941360437842,2.9851799115926717e-4,0.017277673198647647,4.8311440050083387e-4
Wednesday,14,1194,6623,5.546901172529314,4.839263489351825e-4,0.021998326048478838,6.366305441105208e-4
Wednesday,15,1296,9373,7.232253086419753,6.60511479981174e-4,0.025700417895068828,7.139004970852452e-4
Wednesday,16,1259,9043,7.1826846703733125,6.090206651597005e-4,0.024678344052219154,6.955096331819198e-4
Wednesday,17,1424,7509,5.27317415730337,7.506141379830882e-4,0.027397338155066966,7.260280090547086e-4
Wednesday,18,1191,8901,7.473551637279597,0.0011425306192375162,0.03380134049468329,9.794404660640817e-4
Wednesday,19,1205,10289,8.538589211618257,0.004132631221364441,0.0642855444199117,0.0018519096841667897
Wednesday,20,1052,10323,9.812737642585551,0.011682442669356006,0.10808534900418283,0.0033324140688101482
Wednesday,21,726,10660,14.683195592286502,0.09663913953707541,0.31086836367999143,0.011537407093786813
Wednesday,22,562,8776,15.615658362989324,0.15418222825028943,0.3926604490527273,0.016563381353722508
Wednesday,23,200,5450,27.25,2.19303827782986,1.4808910418494199,0.10471480978901361
